Date,open,high,low,close,volume
2024-01-28 08:00:00,42390.4,42618.2,42327.8,42493.8,297.45782794
2024-01-28 09:00:00,42493.7,42699.9,42424.1,42575.9,542.27173908
2024-01-28 10:00:00,42575.9,42648.0,42500.0,42606.1,238.26277952
2024-01-28 11:00:00,42606.2,42618.9,42360.6,42474.1,328.3067555
2024-01-28 12:00:00,42474.3,42497.0,42290.1,42417.2,196.78675638
2024-01-28 13:00:00,42417.3,42453.5,42248.5,42401.9,400.82886108
2024-01-28 14:00:00,42401.8,42544.5,42251.1,42288.2,161.42903374
2024-01-28 15:00:00,42288.3,42413.9,42150.8,42260.2,235.91464221
2024-01-28 16:00:00,42260.3,42352.5,42137.9,42308.2,164.54644403
2024-01-28 17:00:00,42308.3,42313.7,42099.6,42164.6,133.09425151
2024-01-28 18:00:00,42166.0,42177.8,41928.5,41968.5,166.34078818
2024-01-28 19:00:00,41968.5,42030.0,41718.1,41785.9,266.19286498
2024-01-28 20:00:00,41785.9,41970.0,41681.0,41946.2,176.3480608
2024-01-28 21:00:00,41946.2,42033.9,41806.8,41981.8,131.19446806
2024-01-28 22:00:00,41979.7,41984.6,41617.2,41832.1,265.65804823
2024-01-28 23:00:00,41837.1,42080.0,41748.0,42033.2,236.67547197
2024-01-29 00:00:00,42036.7,42075.0,41873.3,41972.7,250.345966
2024-01-29 01:00:00,41972.8,42320.8,41969.0,42165.4,415.26001237
2024-01-29 02:00:00,42165.4,42333.0,42129.6,42242.0,336.61900118
2024-01-29 03:00:00,42242.2,42503.6,42242.2,42327.3,426.19844223
2024-01-29 04:00:00,42327.2,42345.9,42193.3,42216.9,232.50954293
2024-01-29 05:00:00,42217.0,42284.7,42122.0,42140.1,179.86455654
2024-01-29 06:00:00,42140.1,42250.0,42136.6,42167.5,148.26670716
2024-01-29 07:00:00,42167.5,42248.1,41992.5,42055.2,163.41198198
2024-01-29 08:00:00,42058.1,42152.2,41967.4,42123.1,171.58941257
2024-01-29 09:00:00,42123.2,42329.9,41959.6,42291.8,234.80608338
2024-01-29 10:00:00,42291.8,42381.2,42206.4,42317.6,179.29548729
2024-01-29 11:00:00,42317.6,42355.6,42184.3,42245.7,221.36339135
2024-01-29 12:00:00,42245.8,42368.3,41978.7,42103.3,319.49318046
2024-01-29 13:00:00,42103.3,42136.9,41931.2,42007.4,302.85067723
2024-01-29 14:00:00,42007.4,42103.8,41799.5,41956.6,582.77891561
2024-01-29 15:00:00,41956.7,42648.6,41876.6,42641.6,1514.51319359
2024-01-29 16:00:00,42641.5,43300.0,42520.0,43195.8,3134.11020893
2024-01-29 17:00:00,43195.9,43300.0,42922.4,42994.9,713.27426281
2024-01-29 18:00:00,42995.0,43115.3,42871.1,43024.7,633.67608545
2024-01-29 19:00:00,43024.7,43153.2,42980.9,43004.0,579.48675519
2024-01-29 20:00:00,43003.9,43197.5,42978.6,43145.0,446.00991289
2024-01-29 21:00:00,43145.0,43264.9,43057.3,43173.8,378.887056
2024-01-29 22:00:00,43173.8,43210.0,43080.1,43109.6,212.86173276
2024-01-29 23:00:00,43109.6,43300.0,43076.6,43296.9,536.58412432
2024-01-30 00:00:00,43297.0,43300.0,43135.2,43167.2,259.32139008
2024-01-30 01:00:00,43167.3,43555.8,43155.9,43438.9,1464.29991369
2024-01-30 02:00:00,43439.0,43788.0,43439.0,43618.6,831.15391316
2024-01-30 03:00:00,43618.7,43681.8,43457.3,43524.2,953.58259694
2024-01-30 04:00:00,43524.1,43575.3,43401.2,43419.0,464.9658114
2024-01-30 05:00:00,43419.0,43465.0,43342.0,43367.3,166.66382818
2024-01-30 06:00:00,43367.3,43425.9,43252.9,43346.5,279.99571881
2024-01-30 07:00:00,43346.4,43445.0,43318.1,43366.4,243.16572433
2024-01-30 08:00:00,43366.5,43465.1,43225.8,43431.3,530.23562255
2024-01-30 09:00:00,43431.4,43459.9,43319.1,43325.5,381.40770026
2024-01-30 10:00:00,43325.4,43500.0,43285.0,43477.8,517.29007267
2024-01-30 11:00:00,43477.8,43555.0,43412.2,43530.6,401.43908922
2024-01-30 12:00:00,43530.6,43884.4,43252.4,43395.5,1786.72206729
2024-01-30 13:00:00,43395.4,43485.4,43146.6,43289.9,636.65164851
2024-01-30 14:00:00,43289.9,43500.0,43115.7,43476.9,366.24578051
2024-01-30 15:00:00,43476.9,43600.0,43292.0,43377.1,1077.87252599
2024-01-30 16:00:00,43377.1,43500.0,43220.9,43496.0,1116.05592938
2024-01-30 17:00:00,43496.0,43591.7,43303.3,43398.6,630.57696577
2024-01-30 18:00:00,43398.7,43493.9,43265.6,43373.9,516.35574141
2024-01-30 19:00:00,43374.0,43579.7,43338.5,43549.9,295.16178306
2024-01-30 20:00:00,43550.1,43758.0,43483.5,43551.3,976.58198224
2024-01-30 21:00:00,43551.3,43690.0,43481.1,43545.3,478.69168819
2024-01-30 22:00:00,43545.3,43577.0,43317.0,43322.0,331.44265194
2024-01-30 23:00:00,43322.0,43354.0,42690.1,42941.8,1123.61307535
2024-01-31 00:00:00,42941.8,43110.0,42851.0,42932.8,650.39841569
2024-01-31 01:00:00,42932.8,43000.0,42722.7,42781.3,397.06106541
2024-01-31 02:00:00,42782.4,42900.2,42654.6,42879.3,568.48075168
2024-01-31 03:00:00,42878.4,42989.6,42855.0,42929.1,238.82981379
2024-01-31 04:00:00,42929.1,42995.4,42871.2,42961.5,220.19073488
2024-01-31 05:00:00,42961.5,43047.5,42920.7,42976.9,265.61734084
2024-01-31 06:00:00,42977.0,43057.9,42906.4,42970.0,318.81569972
2024-01-31 07:00:00,42970.1,43081.0,42942.7,43048.7,214.28436679
2024-01-31 08:00:00,43048.6,43100.0,42936.9,42973.8,242.09442087
2024-01-31 09:00:00,42973.8,42973.8,42617.9,42651.3,453.18954157
2024-01-31 10:00:00,42652.0,42790.8,42373.6,42383.4,822.67919674
2024-01-31 11:00:00,42383.5,42677.8,42352.8,42644.2,411.08895754
2024-01-31 12:00:00,42644.1,42726.6,42552.4,42625.8,310.52567343
2024-01-31 13:00:00,42625.8,42919.2,42517.6,42799.4,542.86849965
2024-01-31 14:00:00,42799.5,42987.2,42563.9,42880.5,1127.37101221
2024-01-31 15:00:00,42880.5,43464.5,42691.6,43354.2,2519.02669214
2024-01-31 16:00:00,43353.2,43650.0,43286.1,43471.2,793.05824992
2024-01-31 17:00:00,43471.2,43748.8,43426.0,43721.0,804.18745762
2024-01-31 18:00:00,43716.5,43748.7,43468.8,43507.0,262.23504919
2024-01-31 19:00:00,43504.1,43556.9,43034.8,43330.0,782.22188172
2024-01-31 20:00:00,43328.5,43360.6,42511.0,42544.1,1197.87606089
2024-01-31 21:00:00,42544.1,42712.0,42288.8,42487.9,840.11737307
2024-01-31 22:00:00,42487.9,42686.0,42380.0,42652.0,321.13306477
2024-01-31 23:00:00,42652.1,42683.9,42550.0,42576.0,255.66549094
2024-02-01 00:00:00,42576.0,42683.9,42199.3,42473.3,531.97888512
2024-02-01 01:00:00,42473.3,42480.3,41868.2,41980.0,1005.73547573
2024-02-01 02:00:00,41980.0,42177.6,41954.6,42160.0,560.06218088
2024-02-01 03:00:00,42160.1,42182.2,41953.2,42007.5,589.54641628
2024-02-01 04:00:00,42007.4,42137.1,41888.9,42070.6,499.58457437
2024-02-01 05:00:00,42070.6,42192.2,42022.8,42152.6,259.1433773
2024-02-01 06:00:00,42152.6,42224.9,42106.7,42188.3,282.91856171
2024-02-01 07:00:00,42188.3,42295.1,42116.9,42187.8,375.5820001
2024-02-01 08:00:00,42187.8,42248.0,42113.3,42240.8,266.53082342
2024-02-01 09:00:00,42240.8,42262.3,42129.6,42143.9,256.37327454
2024-02-01 10:00:00,42143.9,42327.9,42105.9,42220.9,355.06781674
2024-02-01 11:00:00,42220.9,42298.6,42042.9,42076.8,361.2619935
2024-02-01 12:00:00,42076.8,42233.0,41945.4,42141.4,505.11453734
2024-02-01 13:00:00,42140.2,42294.4,41982.0,42222.0,571.70023292
2024-02-01 14:00:00,42215.3,42656.8,42178.9,42649.7,941.33119917
2024-02-01 15:00:00,42649.6,42946.1,42511.6,42511.6,1112.68722544
2024-02-01 16:00:00,42511.5,42699.8,42358.9,42655.9,505.02446106
2024-02-01 17:00:00,42656.0,43164.8,42625.8,42917.0,683.18201677
2024-02-01 18:00:00,42920.2,43054.1,42769.2,42843.4,337.71599812
2024-02-01 19:00:00,42843.5,43286.2,42826.1,43217.0,487.32236721
2024-02-01 20:00:00,43217.0,43279.4,42893.2,43009.0,512.20381803
2024-02-01 21:00:00,43009.4,43219.1,42963.9,43093.5,290.28347934
2024-02-01 22:00:00,43093.5,43109.5,42873.4,42922.8,139.32527152
2024-02-01 23:00:00,42922.8,43090.4,42880.7,43086.8,174.09972194
2024-02-02 00:00:00,43086.8,43428.7,43040.3,43165.4,488.13746645
2024-02-02 01:00:00,43165.4,43294.7,43099.9,43117.6,294.77850418
2024-02-02 02:00:00,43117.7,43197.2,43028.0,43076.0,312.30813379
2024-02-02 03:00:00,43075.9,43111.4,43022.2,43030.6,107.22083698
2024-02-02 04:00:00,43030.0,43062.2,42942.6,42961.6,228.30240398
2024-02-02 05:00:00,42962.0,43136.1,42945.0,43100.0,146.06095459
2024-02-02 06:00:00,43100.1,43272.6,43082.4,43163.8,254.70289719
2024-02-02 07:00:00,43163.9,43258.9,43086.3,43088.1,690.9419556
2024-02-02 08:00:00,43088.1,43109.8,42956.0,43016.1,270.16955812
2024-02-02 09:00:00,43016.0,43079.2,42960.8,42984.0,190.13966086
2024-02-02 10:00:00,42983.9,43149.0,42943.9,43122.1,270.55266251
2024-02-02 11:00:00,43122.1,43200.0,43058.5,43147.0,320.10750292
2024-02-02 12:00:00,43147.0,43241.1,43054.2,43130.8,503.97276207
2024-02-02 13:00:00,43130.8,43147.8,42546.8,42689.9,899.32149294
2024-02-02 14:00:00,42687.5,42904.6,42604.7,42802.0,443.68604513
2024-02-02 15:00:00,42802.0,43248.2,42751.1,43234.8,1122.75735837
2024-02-02 16:00:00,43234.7,43485.2,43090.4,43221.8,892.96820217
2024-02-02 17:00:00,43215.6,43299.6,42888.0,42952.1,362.46981321
2024-02-02 18:00:00,42955.9,42985.9,42774.0,42925.8,335.49632629
2024-02-02 19:00:00,42925.8,43081.0,42912.2,43062.1,192.14260707
2024-02-02 20:00:00,43062.1,43090.5,42891.3,42948.1,256.97710669
2024-02-02 21:00:00,42948.4,43061.5,42943.2,42991.3,62.98928722
2024-02-02 22:00:00,42991.3,43223.5,42991.3,43196.6,119.58098096
2024-02-02 23:00:00,43196.6,43233.1,43132.4,43197.2,72.82081496
2024-02-03 00:00:00,43197.3,43380.0,43149.4,43222.7,208.02813665
2024-02-03 01:00:00,43223.4,43318.9,43189.8,43215.0,88.97740971
2024-02-03 02:00:00,43215.1,43232.6,43150.0,43191.0,78.21563409
2024-02-03 03:00:00,43191.0,43236.0,43142.0,43171.3,53.42701921
2024-02-03 04:00:00,43171.2,43227.8,43150.0,43194.0,84.93876275
2024-02-03 05:00:00,43194.1,43216.0,43094.0,43169.4,79.79793826
2024-02-03 06:00:00,43169.4,43169.5,43081.0,43092.5,128.73335699
2024-02-03 07:00:00,43092.5,43132.7,43034.0,43053.2,67.82702485
2024-02-03 08:00:00,43053.2,43088.3,43001.0,43017.9,107.45737591
2024-02-03 09:00:00,43018.0,43120.5,43011.0,43090.0,88.39695701
2024-02-03 10:00:00,43090.1,43124.1,43039.9,43066.9,73.99497129
2024-02-03 11:00:00,43066.9,43067.0,42973.1,42995.4,167.6713178
2024-02-03 12:00:00,42995.4,43088.8,42973.2,43066.4,87.37214206
2024-02-03 13:00:00,43066.4,43095.0,43038.2,43073.9,73.5765128
2024-02-03 14:00:00,43073.8,43078.2,43021.5,43040.2,70.74509599
2024-02-03 15:00:00,43040.2,43196.4,42877.2,43121.6,284.51297499
2024-02-03 16:00:00,43121.7,43188.0,43067.2,43090.9,130.66118327
2024-02-03 17:00:00,43089.5,43281.8,43084.6,43230.7,173.34226379
2024-02-03 18:00:00,43230.8,43243.7,43023.5,43072.8,193.40663762
2024-02-03 19:00:00,43072.9,43086.4,43013.7,43058.0,125.40258438
2024-02-03 20:00:00,43058.1,43103.2,43002.9,43065.8,60.68129935
2024-02-03 21:00:00,43065.7,43094.2,43019.4,43043.9,32.57136369
